charter,findrsLender,cert,Lender,match
25125,"Esquire Bank, National Association",58140,"Esquire Bank, National Association",TRUE
11583,"Evans Bank, National Association",6947,"Evans Bank, National Association",TRUE
702610,Evergreen Federal Bank,28914,Evergreen Federal Bank,TRUE
17000,Evergreen National Bank,23404,Evergreen National Bank,TRUE
13778,"Extraco Banks, National Association",5551,"Extraco Banks, National Association",TRUE
24373,Falcon National Bank,57603,Falcon National Bank,TRUE
703330,Family Bank,29357,Family Bank,TRUE
715205,"Farm Bureau Bank, FSB",35157,"Farm Bureau Bank, FSB",TRUE
5629,"FCN Bank, National Association",4319,"FCN Bank, National Association",TRUE
25188,"Fidelity Bank, National Association",30895,"Fidelity Bank, National Association",TRUE
700133,Fifth District Savings Bank,27697,Fifth District Savings Bank,TRUE
6769,"First & Farmers National Bank, Inc.",2738,"First & Farmers National Bank, Inc.",TRUE
24758,"First American Bank, National Association",58593,"First American Bank, National Association",TRUE
15386,First American National Bank,19226,First American National Bank,TRUE
14564,"First Bankers Trust Company, National Association",16501,"First Bankers Trust Company, National Association",TRUE
24169,"First Century Bank, National Association",57123,"First Century Bank, National Association",TRUE
6671,First Colorado National Bank,3047,First Colorado National Bank,TRUE
713570,First Command Bank,34415,First Command Bank,TRUE
17862,"First Commercial Bank, National Association",24603,"First Commercial Bank, National Association",TRUE
17694,First Community National Bank,1639,First Community National Bank,TRUE
2068,First Dakota National Bank,4028,First Dakota National Bank,TRUE
22351,First Farmers & Merchants National Bank,33131,First Farmers & Merchants National Bank,TRUE
13544,First Farmers & Merchants National Bank,5186,First Farmers & Merchants National Bank,TRUE
706707,First Federal Bank,31313,First Federal Bank,TRUE
706343,First Federal Bank,31077,First Federal Bank,TRUE
703619,First Federal Bank & Trust,29537,First Federal Bank & Trust,TRUE
705339,First Federal Bank of Louisiana,30441,First Federal Bank of Louisiana,TRUE
705313,First Federal Bank of Wisconsin,30422,First Federal Bank of Wisconsin,TRUE
25025,"First Federal Community Bank, National Association",29787,"First Federal Community Bank, National Association",TRUE
702631,First Federal Savings Bank,28924,First Federal Savings Bank,TRUE
707101,First Federal Savings Bank,31516,First Federal Savings Bank,TRUE
704381,First Federal Savings Bank of Kentucky,29937,First Federal Savings Bank of Kentucky,TRUE
47,"First Financial Bank, National Association",4382,"First Financial Bank, National Association",TRUE
4166,"First Financial Bank, National Association",3066,"First Financial Bank, National Association",TRUE
10118,"First Hope Bank, A National Banking Association",6354,"First Hope Bank, A National Banking Association",TRUE
10045,"First Mid Bank & Trust, National Association",3705,"First Mid Bank & Trust, National Association",TRUE
703764,"First Mutual Bank, FSB",29617,"First Mutual Bank, FSB",TRUE
1926,First National Bank & Trust Company,3639,First National Bank & Trust Company,TRUE
5052,First National Bank & Trust Company of McAlester,4145,First National Bank & Trust Company of McAlester,TRUE
12072,First National Bank Alaska,16130,First National Bank Alaska,TRUE
3248,First National Bank Albany/Breckenridge,3067,First National Bank Albany/Breckenridge,TRUE
10697,First National Bank and Trust,2779,First National Bank and Trust,TRUE
3601,First National Bank and Trust,4756,First National Bank and Trust,TRUE
8029,First National Bank and Trust Co. of Bottineau,3902,First National Bank and Trust Co. of Bottineau,TRUE
13677,First National Bank and Trust Company of Ardmore,4037,First National Bank and Trust Company of Ardmore,TRUE
15407,First National Bank and Trust Company of Weatherford,19263,First National Bank and Trust Company of Weatherford,TRUE
14184,First National Bank at Darlington,14468,First National Bank at Darlington,TRUE
14168,First National Bank in DeRidder,14427,First National Bank in DeRidder,TRUE
11916,First National Bank in Frankfort,4668,First National Bank in Frankfort,TRUE
14144,First National Bank in Howell,14370,First National Bank in Howell,TRUE
14294,First National Bank in New Bremen,14836,First National Bank in New Bremen,TRUE
13557,First National Bank in Ord,5460,First National Bank in Ord,TRUE
10637,First National Bank in Philip,3999,First National Bank in Philip,TRUE
13975,First National Bank in Pinckneyville,13813,First National Bank in Pinckneyville,TRUE
14821,First National Bank in Port Lavaca,17811,First National Bank in Port Lavaca,TRUE
14769,First National Bank in Taylorville,17572,First National Bank in Taylorville,TRUE
1794,First National Bank Minnesota,5247,First National Bank Minnesota,TRUE
18214,First National Bank Northwest Florida,25122,First National Bank Northwest Florida,TRUE
14905,First National Bank of Alvin,18282,First National Bank of Alvin,TRUE
14740,First National Bank of America,17438,First National Bank of America,TRUE
7337,First National Bank of Anderson,3075,First National Bank of Anderson,TRUE
13675,First National Bank of Bosque County,5564,First National Bank of Bosque County,TRUE
14993,First National Bank of Brookfield,18564,First National Bank of Brookfield,TRUE
17001,First National Bank of Burleson,23430,First National Bank of Burleson,TRUE
5850,First National Bank of Central Texas,3325,First National Bank of Central Texas,TRUE
14637,First National Bank of Chadron,16859,First National Bank of Chadron,TRUE
15284,First National Bank of Clarksdale,19070,First National Bank of Clarksdale,TRUE
22327,First National Bank of Coffee County,33506,First National Bank of Coffee County,TRUE
24458,First National Bank of Decatur County,57694,First National Bank of Decatur County,TRUE
20026,First National Bank of Dublin,26228,First National Bank of Dublin,TRUE
13637,First National Bank of Eastern Arkansas,3863,First National Bank of Eastern Arkansas,TRUE
14842,First National Bank of Fort Stockton,17913,First National Bank of Fort Stockton,TRUE
4410,First National Bank of Giddings,3217,First National Bank of Giddings,TRUE
15158,First National Bank of Gillette,18880,First National Bank of Gillette,TRUE
15572,First National Bank of Griffin,169,First National Bank of Griffin,TRUE
23692,First National Bank of Hereford,34918,First National Bank of Hereford,TRUE
4208,First National Bank of Huntsville,3269,First National Bank of Huntsville,TRUE
2592,First National Bank of Kentucky,2735,First National Bank of Kentucky,TRUE
12523,First National Bank of Louisiana,4288,First National Bank of Louisiana,TRUE
24637,First National Bank of Michigan,58259,First National Bank of Michigan,TRUE
15579,First National Bank of Muscatine,961,First National Bank of Muscatine,TRUE
14436,First National Bank of Nokomis,15763,First National Bank of Nokomis,TRUE
10406,First National Bank of North Arkansas,3854,First National Bank of North Arkansas,TRUE
11397,First National Bank of Oklahoma,4211,First National Bank of Oklahoma,TRUE
209,First National Bank of Omaha,5452,First National Bank of Omaha,TRUE
13478,First National Bank of Pana,3720,First National Bank of Pana,TRUE
20976,First National Bank of Pasco,26829,First National Bank of Pasco,TRUE
249,First National Bank of Pennsylvania,7888,First National Bank of Pennsylvania,TRUE
14592,First National Bank of Picayune,16612,First National Bank of Picayune,TRUE
14619,First National Bank of Pulaski,15572,First National Bank of Pulaski,TRUE
14680,First National Bank of Scotia,11501,First National Bank of Scotia,TRUE
10680,First National Bank of South Carolina,2107,First National Bank of South Carolina,TRUE
18063,First National Bank of South Padre Island,24902,First National Bank of South Padre Island,TRUE
14437,First National Bank of Steeleville,1049,First National Bank of Steeleville,TRUE
15550,First National Bank of Tennessee,19502,First National Bank of Tennessee,TRUE
14882,First National Bank of Wauchula,18136,First National Bank of Wauchula,TRUE
5674,First National Bank of Winnsboro,5590,First National Bank of Winnsboro,TRUE
5750,First National Bank Texas,3285,First National Bank Texas,TRUE
16473,First National Bank USA,22046,First National Bank USA,TRUE
14833,"First National Bank, Cortez",17872,"First National Bank, Cortez",TRUE
16487,First National Community Bank,22092,First National Community Bank,TRUE
11412,First National Community Bank,5357,First National Community Bank,TRUE
13682,"First Neighbor Bank, National Association",3747,"First Neighbor Bank, National Association",TRUE
8752,First Pioneer National Bank,3063,First Pioneer National Bank,TRUE
23393,"First Robinson Savings Bank, National Association",28105,"First Robinson Savings Bank, National Association",TRUE
708547,First Savings Bank,32629,First Savings Bank,TRUE
703997,First Seacoast Bank,29744,First Seacoast Bank,TRUE
1493,First Southern National Bank,2700,First Southern National Bank,TRUE
14005,First Texoma National Bank,13905,First Texoma National Bank,TRUE
9480,First United National Bank,7886,First United National Bank,TRUE
707674,First Western Federal Savings Bank,31972,First Western Federal Savings Bank,TRUE
23681,"FirstCapital Bank of Texas, National Association",35028,"FirstCapital Bank of Texas, National Association",TRUE
13934,First-Lockhart National Bank,13599,First-Lockhart National Bank,TRUE
708412,"Flagstar Bank, FSB",32541,"Flagstar Bank, FSB",TRUE
20214,"Florida Capital Bank, National Association",26323,"Florida Capital Bank, National Association",TRUE
24349,"Forcht Bank, National Association",57415,"Forcht Bank, National Association",TRUE
14566,Forest Park National Bank and Trust Company,15945,Forest Park National Bank and Trust Company,TRUE
703069,Fox Valley Savings Bank,29188,Fox Valley Savings Bank,TRUE
24257,Freedom National Bank,57254,Freedom National Bank,TRUE
24891,"Fulton Bank, National Association",7551,"Fulton Bank, National Association",TRUE
700257,Gate City Bank,27774,Gate City Bank,TRUE
718024,Generations Bank,16040,Generations Bank,TRUE
7699,Glens Falls National Bank and Trust Company,7074,Glens Falls National Bank and Trust Company,TRUE
18558,"Golden Bank, National Association",26223,"Golden Bank, National Association",TRUE
702253,"Golden Belt Bank, FSA",28735,"Golden Belt Bank, FSA",TRUE
20862,"Golden Pacific Bank, National Association",26881,"Golden Pacific Bank, National Association",TRUE
6684,Grand Ridge National Bank,3674,Grand Ridge National Bank,TRUE
25152,"Grasshopper Bank, National Association",59113,"Grasshopper Bank, National Association",TRUE
23049,Great Plains National Bank,34207,Great Plains National Bank,TRUE
706518,"Greeneville Federal Bank, FSB",31198,"Greeneville Federal Bank, FSB",TRUE
700641,Greenville Federal,27965,Greenville Federal,TRUE
13944,Greenville National Bank,13703,Greenville National Bank,TRUE
25053,"Guaranty Bank & Trust, National Association",1208,"Guaranty Bank & Trust, National Association",TRUE
14149,Haskell National Bank,14399,Haskell National Bank,TRUE
