cert,rssd,asset
22134,2324997,1450947
17159,2935142,1448903
20164,2453084,1448725
28808,3035928,1448679
18199,5045444,1448221
7900,2264404,1445459
4857,1132672,1444728
4993,3186576,1437919
23799,1103878,1437226
32551,4121912,1436396
1487,1083783,1435927
24563,3211012,1434247
23472,3587146,1432387
28905,2568102,1429252
58513,,1424576
24897,2868950,1419682
58255,4422851,1417323
18402,1823345,1407598
12769,1108163,1407279
34252,2731586,1406979
11112,2914857,1398542
28405,4438366,1384373
18198,3912766,1383895
22957,1109834,1380873
26484,2621182,1378626
29961,3908929,1364291
33758,1126729,1361624
14382,1203778,1360691
14712,1127294,1359584
27046,1247398,1358386
14207,1210169,1355684
26336,,1353479
14816,1123933,1352934
34295,2524788,1350983
26856,2270254,1349605
29523,2237118,1347425
12944,3596009,1346524
57607,3189906,1344503
3440,2880626,1341180
3775,1245460,1338345
15091,2336806,1336036
7153,2367921,1334374
57369,,1334347
5744,2260406,1332177
29058,3843628,1330982
57742,4977397,1330273
17764,,1327409
13063,5117323,1327262
30846,2708159,1324338
28453,2621548,1321862
8870,1247455,1321745
4433,1203509,1316902
58716,4475473,1316354
6821,1139925,1315650
17964,2169871,1315493
7848,3333718,1309887
57777,5033580,1303282
20488,2482196,1297141
34076,1206546,1295984
9123,4247081,1292757
34294,3927078,1289712
23298,,1289584
12406,1201112,1289343
18355,,1285272
15555,1978674,1282692
57103,2260406,1276844
18059,,1273538
4016,1126354,1270755
2102,1134108,1269801
9314,1249712,1267770
30011,3314584,1267203
90141,4298711,1265944
2240,1108967,1263696
35465,3207659,1262470
8405,1118238,1262274
35005,2909554,1261472
17748,3444717,1251161
57415,3446346,1250131
32282,3842528,1250034
58424,,1249983
58719,4503901,1249282
17658,2835475,1248814
5854,2810285,1246633
9204,1025662,1245824
660,3138267,1244856
5956,2818245,1243545
698,2365356,1242897
90227,4268349,1242371
7472,2560263,1242099
57813,3283587,1241797
2138,1130904,1234803
27861,3805279,1234760
19690,,1231458
34681,2260406,1231350
3256,3412798,1230489
1143,1206546,1228865
287,2052067,1227495
14359,1117688,1226015
10667,2052777,1223874
3210,1107522,1223366
7714,1118434,1221979
15752,1139345,1220693
12204,1083475,1215948
7151,1246476,1213742
13716,1398740,1212746
57944,4980409,1209204
58583,5116344,1207640
6063,1125740,1206545
4190,1052220,1205993
57510,3680980,1203922
35230,3477425,1203314
57873,5124938,1202089
57449,,1201697
90282,3547010,1197179
5574,1105470,1196845
34837,2007647,1196621
57228,3806511,1194939
29520,3831326,1193211
57056,,1189347
3809,1250437,1188063
32912,1966671,1188008
58291,4907219,1185412
34047,2337401,1185200
34403,3203008,1183330
3664,1208054,1183325
34254,3013225,1181617
6161,2603991,1181533
9963,1138450,1181374
12517,2320618,1180627
29922,3180060,1180610
11200,2560665,1178877
7493,1116681,1177411
15809,1107308,1174614
57614,3391129,1174415
15511,1132243,1173891
9443,1399073,1171589
58558,3818381,1171054
4009,1124060,1170745
26451,3454220,1170169
8878,3131893,1169616
10146,1118948,1165832
12855,1204832,1163924
14778,1206546,1163181
18238,,1160911
5285,1209042,1160856
19123,1127650,1158361
30996,4439354,1157304
33457,3726440,1156478
13397,,1156177
18561,1139103,1155654
17897,4657121,1154570
7542,1117316,1154172
20099,,1153413
90173,4459820,1150627
8235,1096484,1148360
30182,4126609,1148328
31189,5115468,1147532
18467,2693273,1145751
734,1070831,1140237
22444,2944144,1139707
90259,,1137348
18258,,1135840
57542,,1134399
12501,2112439,1133219
57428,4735533,1132819
15912,,1132780
8011,,1124298
58267,3832583,1123748
7598,2727495,1117165
17751,2710796,1113986
34728,3121193,1111405
20954,1086270,1111026
26218,1208184,1110741
30879,3632493,1107531
8426,1830240,1106503
8432,1081613,1106075
4666,2107707,1105574
23286,3320978,1105257
57497,2596776,1102441
26381,2344856,1102378
1643,3523359,1101967
11771,1203451,1099471
4506,1200348,1098686
90251,4267472,1089000
5415,2360454,1088509
26906,4076937,1088123
13339,1071454,1082283
8774,1928633,1081890
25679,1104231,1079803
13023,1206546,1079582
15953,1096952,1078692
19608,1209716,1076136
26223,,1071625
57591,,1069463
11406,1248818,1069459
27078,1123072,1069458
58490,3842649,1068042
14140,2934305,1067966
18609,1107193,1066096
11868,2858773,1065405
6892,1076673,1058955
90235,3469354,1058441
31361,4264789,1052372
6636,1070765,1051371
58115,3376452,1050879
58374,3812035,1050569
57417,2925406,1048656
58728,,1046107
17743,,1045174
57197,1248162,1041885
19506,1247361,1037172
3387,1108707,1036301
10307,1081716,1035417
29566,3848931,1035311
57754,4656964,1032699
26523,3728930,1031111
31100,1253773,1029261
17180,4436559,1029226
58652,3716339,1028762
58590,5196177,1026643
7404,1118265,1025768
35274,1426960,1025492
28670,2618940,1025137
16160,5149043,1023198
384,2012436,1021704
17910,1417212,1020171
27998,3828018,1018809
17509,3897519,1018307
33119,2332536,1018131
58054,,1011321
13198,3435283,1010457
34885,5189450,1009419
2232,1053272,1009312
33405,2127657,1007817
16032,3271230,1007053
1435,1061893,1006127
28533,5371947,1005689
30039,3948439,1004484
34068,2346010,1002299
58433,3588415,1002267
58632,4504533,1000953
33928,4132169,999750
14065,3145966,999276
4931,3416965,997391
22180,2291727,995701
20015,1246159,995447
35519,3109070,994555
27757,4183442,991129
11569,2127068,990932
5615,1141487,989196
5826,3030307,985910
7658,1117491,984330
33492,2254508,983810
8141,1108042,983377
57269,3076592,983266
26395,,981151
3116,3641767,980442
13297,1143342,979963
29613,,979576
58060,,977852
5170,1203714,977180
27132,3015975,977041
15970,,976506
228,1201457,975704
14078,1491913,974774
4702,1064429,974714
18100,2883298,973744
4147,3256134,973402
1117,1131406,972786
58264,3437492,968773
18569,2321419,968752
24540,,967692
6605,2485487,966632
22396,1106132,962471
17960,4436559,961961
28706,,959571
26517,3444801,959534
8904,1066414,958539
58828,4989000,955041
14969,1141889,951968
1545,1202258,951946
20818,1085330,951049
17741,4902643,949918
17749,,949893
30544,,949530
6862,1075881,948400
26605,4325121,948256
14266,2665739,947852
1711,1140239,947752
23137,3485989,947297
33458,1889967,947126
8149,1083729,945718
58722,,943654
28263,3828577,942849
58057,3344312,942710
4533,3299195,941433
7875,1480944,938806
23826,1895397,938359
30441,,936820
34010,3462494,934541
35014,2772990,933981
19184,1054840,931209
58595,3597220,930350
20387,1028533,927848
1068,1098648,926445
23041,2560236,925516
27572,2626299,925040
34812,2929833,923918
20727,4517298,922548
12506,2112439,922109
17211,1131077,921366
58741,5097340,920354
15572,1082393,919118
16501,1404632,918707
18200,,918446
27074,3308677,918137
28362,3632756,915574
12299,1107184,914881
5598,1080139,914193
34982,,913515
9923,1138197,910837
16546,1833997,910359
11670,1492273,909462
34805,3108082,908289
2700,1247987,907584
23998,1242562,906070
14851,2244545,905388
1210,1135897,905054
12874,1140127,903490
12969,1136009,903272
22373,2507183,902827
8255,1119495,902639
29147,3793143,899928
90297,3803033,899331
34401,3559198,898648
90206,3309889,898144
58675,5010134,895606
14240,2582827,894366
6123,1951770,893679
90253,2634212,892805
19502,,890997
57098,1206546,889280
3325,4577984,888987
11236,1202883,885006
5529,2112439,884747
15545,3316186,883938
58581,3593286,883225
14158,1114940,882444
5840,1097566,880169
13341,1071726,879963
34781,4748766,879943
23275,3098576,878805
32629,4264387,878649
27619,,878124
6531,3248821,876519
25247,1086131,875600
28380,2467474,875472
34404,,874222
22537,1136595,871014
34934,,866785
57620,1206546,866107
19371,2267665,865751
18272,2125813,865063
90190,,864925
19213,1140323,863536
1402,1128134,861565
35,1129533,856877
58752,3683619,854346
16389,2730383,853713
32367,3831465,853686
17614,1055155,853219
58013,1947102,852560
14209,1200124,852248
57044,,852052
32718,,849400
29009,,849334
29657,,849039
26591,3398315,847697
18489,5006472,846119
15728,2265782,842062
7461,1144086,841954
18194,5419700,840397
28788,,839882
21714,,838616
20845,2693956,838108
18487,1208531,837731
25890,1120754,835130
19850,1061736,834969
34207,1060355,830077
58227,3409994,829151
15032,1204177,828473
8668,1076495,827389
31223,2867458,826986
33785,3063622,826109
16636,,825645
5019,1207824,825181
903,1020676,823264
15663,1083587,822135
20156,1136269,821576
90208,4933320,821571
28400,4472249,818550
14578,1245479,816940
6917,1076123,815447
58140,4267427,813644
34415,3823321,812714
12814,1209499,810085
13055,1207132,809877
9139,1967865,809877
35530,4346706,808010
17093,1250370,807430
20989,2351274,807016
24829,4923497,805479
21292,1866155,804664
17612,1106468,803505
13255,1064652,803374
16810,1416831,801753
3787,1842355,801444
16553,1891979,799865
17809,2519038,799453
8660,1099382,798998
22398,3720000,798440
22876,1063552,797246
28316,,797005
1978,1124921,796974
4091,1051465,794938
14562,1103391,794564
27872,3798933,794140
8810,1249918,793621
14073,3340015,791586
31461,2861492,791485
1209,1107595,790781
3108,1416578,788501
17077,1086168,788223
18185,1104017,786089
29294,,785816
35157,3818822,785037
34803,3136405,784473
5544,1131666,783869
29042,2500719,783537
292,1097922,781594
16849,1096550,779355
58818,1206546,778834
27510,,777085
57756,3274727,776497
24823,,774259
11000,1094314,774008
29047,,773952
22451,1080803,772091
8018,2809560,770237
9457,,770063
28865,5281989,770061
1426,1248573,769077
1060,1058558,767249
3099,2112439,765358
58483,1133286,762786
29782,3842050,760101
35518,4267463,759386
16418,1134313,758352
9888,2065432,757998
3183,3213922,757783
20130,2834076,756185
6271,1115040,751255
34811,2947350,751228
28599,,750384
4697,1139354,748749
12627,2294812,748636
4673,1064915,748191
12484,3957589,747635
35207,3217032,746440
3732,2198563,745018
58783,4503910,744635
58281,,743468
58689,3637238,740852
9288,1133008,740707
12978,1250651,740202
35599,4020994,740144
34599,,740091
8021,1081239,739408
5673,3200874,738825
57451,3843646,737820
3226,1107700,735717
30698,3842126,735247
27943,2394628,735032
8889,3595020,734862
28845,,734507
686,1118283,734328
5093,1248546,734212
3869,2619349,733461
16402,1051906,732399
34211,2511014,730576
5694,2135812,729673
58020,3366220,729544
7675,1117213,729389
23537,1209958,728585
21906,1084575,727401
6923,1076600,726582
4029,3292253,725592
5123,2499082,724788
14913,1139297,724469
58,1083895,723283
32203,,721645
34496,3086210,720082
57710,2728595,719363
28396,3834701,718274
27381,1980846,717890
34755,4517261,717380
16664,1099908,716478
6861,4949303,716124
24655,2312837,715876
20484,1141441,715483
9463,1071502,715205
19288,3017915,714386
17797,4299147,714217
1164,2749031,713998
1678,5331286,713820
34890,3049617,713717
89,3306589,711485
15990,,711389
27238,,710734
32242,3828698,710500
8941,4932798,710468
35139,,709550
2281,1130931,709306
29941,5423547,708777
58892,2125813,708574
21848,1057962,707917
1715,,706504
35348,1094314,704893
2824,1137828,702832
7526,1144107,701224
11807,1207392,700270
15565,2603450,699766
11729,1139532,697474
12591,1059975,696999
27267,,696980
1014,1139297,696162
17282,1204337,695507
14646,1830361,695001
4160,3632000,694660
19512,1096372,693947
14995,2486813,693320
14869,1094314,690421
31390,3837962,689527
22874,4305477,689079
4032,1066003,688143
23806,1128880,687832
25620,,687640
27290,1048812,687407
29809,,687381
27362,1095414,686682
32737,1493579,686674
26397,3736690,685867
57061,2929383,684455
90203,,684333
29675,4299316,684181
34998,3589980,684105
3031,1051081,681370
1497,1102451,681317
23737,1951891,681210
19215,1133428,680861
15562,1143511,680703
21606,3058057,680411
1696,1086122,680092
1874,1051317,679478
10308,1099896,678089
29875,2460569,677639
4062,1065163,676764
15584,1133455,676174
17477,3219577,675868
11935,1100813,675849
33708,2339759,674176
34836,2631798,673234
20720,1142242,673022
7614,1117512,672673
24561,1141861,672339
34422,3008753,671007
24919,2082532,670895
90175,3223855,670466
57097,2958990,670322
2036,1076619,668299
2443,1076150,667413
26626,4378529,667211
3214,3059773,667049
27503,2728157,666436
16753,2100089,664804
19482,2286228,663244
57071,3016338,663235
26299,,661387
2740,1119244,660965
35214,3070312,658794
2718,1071623,658584
57144,1066441,658255
30704,3382855,658110
1673,,658107
26725,1242076,657861
31840,1144741,657544
18296,1142439,657352
19762,1094314,656412
23966,,656317
90169,3134102,656269
20250,1823608,656108
1365,1248658,654862
90270,3122846,653134
17120,1098509,652231
10677,,651916
16175,1085255,651379
10958,1123885,650362
14134,2337081,648136
8698,1208577,647374
1527,1491333,647106
29510,5061734,645988
