cert,rssd,asset,charter,findrsLender,Lender,asset_cat
7789,1142813,151180,9803,The Turbotville National Bank,The Turbotville National Bank,Less than $1bn
32606,1918120,79845,22241,The University National Bank of Lawrence,The University National Bank of Lawrence,Less than $1bn
13748,NA,168168,12018,The Upstate National Bank,The Upstate National Bank,Less than $1bn
6636,1070765,1051371,2036,The Vinton County National Bank,The Vinton County National Bank,$1bn - 2.49bn
5569,3386321,289001,5203,The Waggoner National Bank of Vernon,The Waggoner National Bank of Vernon,Less than $1bn
5595,2287225,230860,8694,The Yoakum National Bank,The Yoakum National Bank,Less than $1bn
58536,NA,1723546,718037,Think Mutual Bank,Think Mutual Bank,$1bn - 2.49bn
34068,2346010,1002299,22883,Thomasville National Bank,Thomasville National Bank,$1bn - 2.49bn
3225,3831625,202237,12437,"Titan Bank, National Association","Titan Bank, National Association",Less than $1bn
58687,3645886,420218,24789,Touchmark National Bank,Touchmark National Bank,Less than $1bn
18922,1203974,1462655,15738,Tri City National Bank,Tri City National Bank,$1bn - 2.49bn
24677,1129690,165808,17926,"Triad Bank, National Association","Triad Bank, National Association",Less than $1bn
57543,NA,291665,24397,"Trinity Bank, National Association","Trinity Bank, National Association",Less than $1bn
31945,1048513,5259943,707635,Trustco Bank,Trustco Bank,$2.5bn - 9.9bn
4988,1079562,14017762,10523,Trustmark National Bank,Trustmark National Bank,$10bn - 99.9bn
6548,1119794,533129091,24,U.S. Bank National Association,"U.S. Bank, National Association",$100bn and above
8273,1049828,26151097,23920,"UMB Bank, National Association","UMB Bank, National Association",$10bn - 99.9bn
3661,1205268,319999,7236,Union National Bank,Union National Bank,Less than $1bn
57391,1202258,102035,24346,United Bank & Trust National Association,United Bank & Trust National Association,Less than $1bn
32441,3828054,292441,25160,"United Midwest Savings Bank, National Association","United Midwest Savings Bank, National Association",Less than $1bn
35427,NA,214407,23981,United National Bank,United National Bank,Less than $1bn
26351,NA,107905,21008,Unity National Bank of Houston,Unity National Bank of Houston,Less than $1bn
9396,1048773,39109234,15790,Valley National Bank,Valley National Bank,$10bn - 99.9bn
23737,1951891,681210,17174,"Vast Bank, National Association","Vast Bank, National Association",Less than $1bn
3250,1917600,2496001,13443,"VeraBank, National Association","VeraBank, National Association",$1bn - 2.49bn
32082,1449512,214612,25210,"Viking Bank, National Association","Viking Bank, National Association",Less than $1bn
34755,4517261,717380,23616,Virginia National Bank,Virginia National Bank,Less than $1bn
4029,3292253,725592,12591,"Vision Bank, National Association","Vision Bank, National Association",Less than $1bn
28088,3065617,17372259,25073,"Washington Federal Bank, National Association","Washington Federal Bank, National Association",$10bn - 99.9bn
58433,3588415,1002267,24685,"Waterford Bank, National Association","Waterford Bank, National Association",$1bn - 2.49bn
18221,1145476,31658041,24469,"Webster Bank, National Association","Webster Bank, National Association",$10bn - 99.9bn
3511,1120754,1763696000,1,"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",$100bn and above
22957,1109834,1380873,24185,West Texas National Bank,West Texas National Bank,$1bn - 2.49bn
58426,3480050,90124,24683,West Valley National Bank,West Valley National Bank,Less than $1bn
33803,2260406,2207684,25203,"Wheaton Bank & Trust Company, National Association","Wheaton Bank & Trust Company, National Association",$1bn - 2.49bn
29313,1924804,145455,703267,WinFirst Bank,WinFirst Bank,Less than $1bn
28213,NA,370388,701149,"Winter Hill Bank, FSB","Winter Hill Bank, FSB",Less than $1bn
59105,NA,418816,25142,Winter Park National Bank,Winter Park National Bank,Less than $1bn
33935,2260406,7483044,25196,"Wintrust Bank, National Association","Wintrust Bank, National Association",$2.5bn - 9.9bn
5280,1133660,412416,10865,"WNB Financial, National Association","WNB Financial, National Association",Less than $1bn
23220,4199229,6945211,16892,Woodforest National Bank,Woodforest National Bank,$2.5bn - 9.9bn
1417,2359823,223773,23926,Woodlands National Bank,Woodlands National Bank,Less than $1bn
57414,NA,310045,24343,Worthington National Bank,Worthington National Bank,Less than $1bn
